,Clue,Answer,Explanation
4401,"Holy vessel that could be fashioned by Normans, etc",MONSTRANCE,"Definition: Holy vessel
anagram of NORMANS ETC;  A vessel used in the Catholic and Anglican traditions to display or show the Eucharistic host.  Related etymologically to DEMONSTRATE, and in French, *montrer*.
"
4402,"Delays one found in the likes of Paddington, explosive having been found earlier",HESITATIONS,"Definition: Delays
I was trying to fit our Peruvian ursine friend in somewhere, but in fact it’s the station he’s named after.  It’s HE for ‘high explosive’ followed by I in STATIONS.
"
4403,Neat edging at bottom of garment,TRIM,"Definition: Neat
A charade of T for the last letter of ‘garment’ and RIM for ‘edging’.
"
4404,In kitchen ban every poison,HENBANE,"Definition: poison
Hidden in kitcHEN BAN Every.  It sounds like it’s out of Harry Potter, but it is in fact a poison in the Muggle world.
"
4405,Fighter that ought to be paid still in action,DUELLIST,"Definition: Fighter
Pistols at dawn.  A charade of DUE and anagram of STILL;
"
4406,Doctor on boat is someone who’s got an extra job,MOONLIGHTER,"Definition: someone who’s got an extra job
A charade of MO, one of the abbreviations for ‘doctor’, ON and LIGHTER.
"
4407,"It’s wrong to show lack of respect to Her Majesty, an immoral habit",DISSERVICE,"Definition: It’s wrong
A charade of DISS for ‘show lack of respect’ (ask a teenager if you don’t know it), ER for Brenda, and VICE.
"
4408,A Conservative minister telling it like it is,ACCURATE,"Definition: telling it like it is
Another charade: of A, C and CURATE.  I so want to comment on the inaccuracy of the surface here, but there is blood all over my keyboard from having bitten my tongue so hard, so I can’t.
"
4409,A rude GP out to improve,UPGRADE,"Definition: to improve
anagram of A RUDE GP;  The anagrind is ‘out’.
"
4410,One may be up the mountains making jump with shout of approval,SKI POLE,"Definition: One may be up the mountains
A charade of SKIP and OLE, the Spanish shout of approval.
"
4411,Stones put up to support cooker,AGATES,"Definition: Stones
A charade of SET reversed (‘put up’) supporting (underneath) AGA for the middle-class cooker.
"
4412,Female member in agricultural business,FARM,"Definition: agricultural business
A charade of F and ARM.
"
4413,Engineer in charge pursues blokes drinking tea,MECHANIC,"Definition: Engineer
An insertion of CHA for ‘tea’ in MEN plus IC for ‘in charge’.  This is counter-intuitive for me: since we have a left-to-right language, I want to see ‘follows’ and not ‘pursues’.
"
4414,She‘s a foremost essayist,AMELIA,"Definition: She
It’s clever, but give me a break: this is a Quiptic.  It’s A, M for the first letter of ‘most’ and ELIA, which is referring to the *Essays of Elia*, by Charles Lamb.
"
4415,Charts turnover of unsolicited emails,SPAM,"Definition: unsolicited emails
This is more like it, except that for me the clue leads to MAPS.  It’s in fact a reversal of MAPS.
"
4416,Make arrangements for priest after today,ADMINISTER,"Definition: Make arrangements for
A charade of AD for *anno domini* or broadly ‘today’ and MINISTER.
"
4417,Took issue with guard about hiding key,ARGUED,"Definition: Took issue with
An insertion of the key with four sharps in it in anagram of GUARD; with ‘about’ as the anagrind.
"
4418,Papa’s stuck in routine after fund’s lost all his money,BANKRUPT,"Definition: lost all his money
Dad?  Nope.  Pop?  Nope.  It’s the phonetic alphabet.  P Papa inserted in RUT for ‘routine’ after BANK for ‘fund’.
"
4419,"Yep, pie’s cooked — hurray!",YIPPEE,"Definition: hurray!
anagram of YEP PIE;
"
4420,Condition a mother to accept son having time with husband,ASTHMA,"Definition: Condition
Mamas and Papas centre stage this morning. An insertion of S, T and H in A MA.
"
4421,Beginning to grasp wife in Los Angeles is faithful,STALWART,"Definition: faithful
An insertion of W in LA, all inserted in START.  The insertion indicators are ‘to grasp’ and ‘in’.
"
4422,Very old city has a river enshrouded in mist,VAPOUR,"Definition: mist
Another insertion: of A PO for ‘a river’ in V and UR for the setters’ favourite ‘old city’.
"
4423,Ganged up to repair drive,GET,"Definition: drive
-UP-AND-GOanagram of GANGED UP TO;  Not sure I’d hyphenate this phrase, but that’s by the by.
"
4424,Writer O’Brien is wild without measure,BIRO,"Definition: Writer
Hectence is asking you to take EN out of ‘O’Brien’ and then make an anagram.  An EN is a printer’s measure, and is half an EM.  Tough clue for a Quiptic.
"
4425,Bishop’s jurisdiction keeps soldiers’ quarter peaceful,SERENE,"Definition: peaceful
The bishop’s jurisdiction is a SEE.  Put RE for Royal Engineers or ‘soldiers’ and N for one of the four ‘quarters’ of the compass in that, and you’ve got your answer.
"
4426,Returning full-time university student’s after flat with lots going on,EVENTFUL,"Definition: lots going on
A charade of EVEN for ‘flat’, FT reversed, U and L for learner or ‘student’.
"
4427,In Paris I work on a ruddy odd quiz show,JEOPARDY,"Definition: quiz show
A charade of JE for the French word for ‘I’, OP for ‘work’ (short for ‘opus’) A and RDY for the odd letters of ‘ruddy’.  It’s a US quiz show.
"
4428,Fancy Welshman?,WHIM,"Definition: Fancy
W for ‘Welsh’ followed by HIM.
"
4429,Home country’s far from the sea,INLAND,"Definition: far from the sea
A charade of IN for ‘home’ and LAND.
"
4430,Longing to get rid of cap on Sunday pay,EARNINGS,"Definition: pay
[Y]EARNING followed by S for ‘Sunday’.
"
4431,"Accidentally conspire, keeping quiet, with suppression of information",CENSORSHIP,"Definition: suppression of information
An insertion of SH for ‘quiet!’ in anagram of CONSPIRE;
"
4432,Stop soldier taking against English at university,GIVE UP,"Definition: Stop
A charade of GI for ‘soldier’, V for ‘against’, E for ‘English’ and UP for ‘at university’.
"
4433,Visit setter in horse yard,COME BY,"Definition: Visit
An insertion of ME for ‘setter’ in COB followed by Y.
"
4434,United Nations voting model’s within due process and corruption-free,UNPOLLUTED,"Definition: corruption-free
A charade of UN, POLL and an insertion of T in anagram of DUE;  The anagrind is ‘process’ and the ‘model’ is the model T Ford.  Any colour you like, as long as it’s black.
"
4435,Issues over group with a title,EMANATES,"Definition: Issues
A reversal (‘over’) of SET A NAME.
"
4436,Fish tanks losing large number is one of the signs of winter,AQUARIUS,"Definition: Fish tanks
AQUARIU[M]S, although posh folk like me would always say AQUARIA, dahling.  M is the Roman numeral for one thousand, or a ‘large number’; and AQUARIUS is the sign for babies like me who were born in February, which is officially winter.
"
4437,Street-ravaged dog takes on energy from pudding,STODGE,"Definition: pudding
A charade of ST, anagram of DOG; and E.  Not all puddings are STODGE.
"
4438,Laugh at Penny leaving tent after drug’s brought in,TEE,"Definition: Laugh
-HEEThe tent is a TEEPEE.  Take P for ‘penny’ out of that and insert H for ‘heroin’ and you get TEE-HEE.
"
4439,Carry out investigation about oil extract from flower,VIOLET,"Definition: flower
‘Carry out investigation’ is VET and IOL is an anagram of ‘oil’  Put one inside the other; but that would mean that ‘extract’ would have to be the anagrind, which I can’t see.
"
4440,I quit bad habit in Somerset,BATH,"Definition: in Somerset
Great surface, but some folk won’t like this.  Firstly because it’s a bit convoluted for a puzzle designed for beginners, and secondly because ‘in Somerset’ as a definition of BATH doesn’t go down well in some circles.  Whatever, it’s anagram of HAB[I]T; with ‘bad’ as the anagrind and ‘quit’ as the removal indicator.
"
4441,Great show of British power,POMP,"Definition: Great show
A charade of POM for the Australian word for Brits and P.
"
4442,Ask why I’m drunk?  Note what I’m drinking perhaps,WHISKY MAC,"Definition: what I’m drinking perhaps
Great surface. ~~ anagram of WHY IM DRUNK)~~* (ASK WHY IM; in fact, with ‘drunk’ as the anagrind (*thank you to Polly*), plus C for the first note of the musical scale.
"
4443,Predator ripped apart one running away from viewer,TEARDROP,"Definition: one running away from viewer
Nice misdirection.  It’s anagram of PREDATOR;
"
4444,Conveyed to west and east to make investment,ENROBE,"Definition: to make investment
More clever misdirection.  A reversal of BORNE is followed by E and it’s a House of Lords type investment.  Lib Dems are advised not to mention the House of Lords at all today.
"
4445,Bottom hospital in that regard,AS SUCH,"Definition: in that regard
Not just any hospital, but University College Hospital, London.  A charade of ASS and UCH.
"
4446,"Marks next to ‘blood group’, ‘doesn’t drink‘",ABSTAINS,"Definition: doesn’t drink
AB for a less common blood group followed by STAINS.
"
4447,Irrelevant as the end of the sentence?,BESIDE THE POINT,"Definition: Irrelevant
A cd.  A POINT, or full stop, comes at the end of a sentence.
"
4448,Cross-dressing female lawyer taking drug that’s bad for health,TRANS FATTY ACID,"Definition: that’s bad for health
Interesting concept in the surface and another clever clue.  It’s a charade of TRANS, F, ATTY and ACID.  I presume TRANS is an abbreviation for TRANSVESTITE, but I don’t move in the same circles as the setter, so I can’t be certain.
"
4449,Solicitor taking on man’s name mostly to escape,GET OUT OF,"Definition:  to escape
An insertion of TOUT in GEOF[F].
"
4450,Reluctant woman marrying – not the first or last to get cross,HYBRID,"Definition: cross
There are some delightful surfaces in this puzzle.  [S]HY BRID[E].
"
4451,Front-of-house to cut down on lighting and install air-conditioning,FACADE,"Definition: Front-of-house
An insertion of AC in FADE
"
4452,"Deer retreating, like puss?  They’re loosely bound for Reading",BOOKLETS,"Definition: They’re loosely bound for Reading
Morph is suggesting that you insert KLE for a reversal of ELK in BOOTS.  As in Puss in Boots.
"
4453,"Electronic musicians, female, shaking booty after throwing back chest",KRAFTWERK,"Definition: Electronic musicians
Priceless.  It’s a reversal of ARK for ‘chest’ followed by F and TWERK.  To TWERK is to lean forward, stick your arse out and wiggle it in a sexually provocative manner.  It’s difficult to do this tastefully, as Miley Cyrus has discovered.  KRAFTWERK are a German band from the 1970s who were pioneers of electronic music.  Still going strong, I think.
"
4454,Queen in science fiction who got into bondage, SERF,"Definition: who got into bondage
An insertion of ER for Brenda in SF.  Can’t image Brenda ever having done S&M, can you?  ‘Pass one that studded dog collar this instant, Philip.’  Naah.
"
4455,"Pets?  Old animal sanctuary taking on a thousand, to breach limit",OVERSTEP THE MARK,"Definition: to breach limit
Took me ages to see this.  OVERSTEP gives you ‘pets’ via reversal; then it’s an insertion of M for ‘a thousand’ in THE ARK, in which Noah provided sanctuary for all the animals on the earth, as long as they came in two by two.
"
4456,Concealed in copper duct,PERDU,"Definition: Concealed
I originally entered CORNU, a medical term that seemed to fit the definition of ‘duct’.  But then ORN for ‘concealed’ didn’t make sense.  I finally spotted that it was hidden in copPER DUct.  I’ve always known it from the French for ‘lost’, but the ‘concealed’ definition is in my SOED, so fair play.
"
4457,Good-for-nothing drunken Welsh short,WORTHLESS,"Definition: Good-for-nothing
anagram of WELSH SORT;
"
4458,Criticise what looks like principle of single-member constituencies?,IMPEACH,"Definition: Criticise
Funny clue.  If we had single-member constituencies, we’d have 1 MP EACH.
"
4459,Smooth over bases of vessels,KEELS,"Definition: bases of vessels
A reversal of SLEEK.
"
4460,Spread’s pointless – time to have a cocktail,MARGARITA,"Definition: cocktail
The two points of the compass are N and E; take them off the end of MARGARI[NE], add T and A, and you’re ready for a popular cocktail.
"
4461,"Nice man is bitter after reshuffle, no longer being one?",CABINET MINISTER,"You’ll often get some political stuff in Morph’s puzzles, which I for one enjoy.  anagram of NICE MAN IS BITTER; and what we might call an ‘extended definition’ clue.
"
4462,Woman that a Roman impresario kept when up-and-coming,INAMORATA,"Definition: Woman
Hidden reversed in thAT A ROMAN Impresario.
"
4463,Pawn’s desire to get king with multi-pronged tool,PITCHFORK,"Definition: multi-pronged tool
A charade of P ITCH FOR K.
"
4464,A f-falsehood that’s benign,AFFABLE,"Definition: benign
A charade of A, F and FABLE.
"
4465,Online communication time after time containing leak, TWEET,"Definition: Online communication
The online messaging service that’s got lots of people in trouble through indiscreet use.  It’s WEE in two Ts.
"
4466,Rubbish deliveries,BALLS,"Definition: Rubbishdeliveries
A lot of rubbish deliveries is what the English bowlers have been sending down over the last couple of months.  It’s a dd.  Deliveries in cricket are BALLS and BALLS! is an interjection meaning ‘rubbish!’  Which this puzzle certainly was not.  Thanks to Morph for the entertainment.
"
4467,Lover’s lost love in European capital,ROME,"Definition: European capital
Possibly the best-known lover on the planet, ROMEO, needs to lose his last letter.  The O for ‘love’ equivalence comes from tennis.
"
4468,"Leaders, real idiots, in dissaray",EDITORIALS,"Definition: Leaders
anagram of REAL IDIOTS;
"
4469,Agree to study mould,CONFORM,"Definition: Agree
A charade of CON and FORM.  CON for ‘study’ I have never heard or seen except in crosswords.
"
4470,I name magazine that’s current,IN VOGUE,"Definition: current
A charade of I, N and VOGUE for the glossy magazine.
"
4471,Substantially surrounded by German city church,IN ESSENCE,"Definition: Substantially
Another charade: of IN for ‘surrounded’ (which is a bit of a stretch), ESSEN and CE for Church of England.
"
4472,"Celebrity, first in training to jump",START,"Definition: jump
And another: of STAR and T.  ‘You made me start.’
"
4473,"Extremely happy, nun once idol destroyed",ON CLOUD NINE,"Definition: Extremely happy
anagram of NUN ONCE IDOL;  I was minded to look up why we say this, but there doesn’t seem to be a definitive answer.  However, we used to say ON CLOUD SEVEN, apparently.  There’s inflation for you.
"
4474,Stable in eastern walled city,CONSTANTINE,"Definition: walled city
A charade of CONSTANT, IN and E for the walled city in current-day Algeria.
"
4475,"Decline drinks, say",LAPSE,"Definition: Decline
A homophone (‘say’) of LAPS.  Think cats and saucers of milk.
"
4476,"Thinking back, criminal hid things",HINDSIGHT,"Definition: Thinking back
anagram of HID THINGS; with ‘criminal’ as the anagrind.
"
4477,Check on fatality by entrance to Stormont Castle,SCHLOSS,"Definition: Castle
A charade of CH for ‘check’ (it’s not in my dictionaries, but it’s commonly used in chess abbreviations) and LOSS, preceded by S for the first letter of Stormont.  What some people like to call a ‘lift and separate’ clue, since in the surface reading Stormont Castle appears as a single concept.
"
4478,"Cocky type rounded hill, was almost captured",KNOW,"Definition: Cocky type
-ALLAn insertion of WA[S] in KNOLL, a word in most people’s minds forever associated with the events in Dallas just over 50 years ago.
"
4479,Cool enough?,SATISFYING,"Definition: Coolenough
A dd.
"
4480,Male part shortened,STAG,"Definition: Male
STAG[E].
"
4481,Flinch in fear on bend,RECOIL,"Definition: Flinch in fear
A charade of RE for ‘on’ and COIL for ‘bend’.
"
4482,Bodyguard died in pit on top of ridge,MINDER,"Definition: Bodyguard
Everyman is inviting you to insert D for ‘died’ in MINE and follow it with the first letter of ‘ridge’.
"
4483,Sister in party dress can,DOMINICAN,"Definition: Sister 
A charade of DO, MINI and CAN.  ‘Sister’ in the ‘get thee to a nunnery’ sense.
"
4484,What some northerners eat is rubbish,TRIPE,"Definition: What some northerners eatrubbish
A dd.  Is TRIPE an exclusively northern delicacy?  Probs.  Can’t imagine many folk in Kensington and Chelsea putting it in their posh mouths, unless some SW3 butcher’s shop gave it a fancy-sounding French name, when it would go down a storm.
"
4485,"Reading this may get one over sin, might we deduce?",REVISED VERSION,"Definition: Reading this may get one over sin
The technical description of this clue is a reverse anagram thingy with a hint of &lit.  In fact, if Everyman had omitted the last three words of the clue, which he could easily have done, I could have described it as &lit without risking being mauled by the &lit rottweilers that lurk just below the surface on this site, waiting to sink their teeth into bloggers who say a clue is &lit when it’s not.  Whatevs, if you take REVISED as an anagrind, then VERSION could become ‘over sin’.  And reading the REVISED VERSION of the Bible could well help you to get over your sins.  For newer solvers, ‘&lit’ is crosswordese for ‘and literally so’, where the whole clue leads to the answer.  Sometimes called an ‘all-in-one’ clue.
"
4486,"Cooked, covered with breadcrumbs, I turn Aga off",AU GRATIN,"Definition: Cooked, covered with breadcrumbs
anagram of I TURN AGA;  Cheese as well as breadcrumbs in our house.
"
4487,Tapes wound round small garden plant,SWEET PEA,"Definition: garden plant
An insertion of WEE for the mainly Scottish word for ‘small’ in anagram of TAPES; with ‘wound’ as the anagrind.
"
4488,Favouritism in the workplace that does not extend to girls?,JOBS FOR THE BOYS,"Definition: Favouritism in the workplace
A cd.
"
4489,Bulbs kept initially in paper,ONIONSKIN,"Definition: paper
A charade of ONIONS, the first letter of ‘kept’ and IN for the translucent, lightweight paper.
"
4490,Old copper writes down eye specialists,OCULISTS,"Definition: eye specialists
A charade of O, CU and LISTS.
"
4491,Flares up over recently stolen photograph,SNAPSHOT,"Definition: photograph
Shedloads of charades this morning.  This one is SNAPS for ‘flares up’ (in the losing your temper sense) and HOT for ‘recently stolen’.
"
4492,Horrified at hag’s concoction,AGHAST,"Definition: Horrified
anagram of AT HAGS;
"
4493,"Prison camp over in Bengal, at Siliguri",STALAG,"Definition: Prison camp
Hidden reversed in BenGAL AT Siliguri.
"
4494,Muscular dog,HUSKY,"Definition: Musculardog
Well, it had to be this for our last clue, and it’s a dd, but I’d only known HUSKY as referring to a voice. However, my SOED gives this definition as mainly North American, and says ‘tough, strong, hefty’.  And you can’t get more muscular than that.
"
4495,Term maybe scholar mistakenly lent for writer,HILARY MANTEL,"Definition: writer
A charade of HILARY for one of the ‘terms’ at Oxford University, MA for Master of Arts or ‘scholar’ and anagram of LENT; with ‘mistakenly’ as the anagrind.  The ‘maybe’ is referring to the HILARY rather than the MA, I fancy.  The ‘writer’ in question is a two-time Booker Prize winner.
"
4496,Old unionist in agreement reduced by a third?  That’s gratifying,SENSUOUS,"Definition: gratifying
An insertion of OU for ‘old’ and ‘unionist’ in SENSUS, which is CONSENSUS for ‘agreement’ ‘reduced by a third’.  SENSUOUS for ‘gratifying’?  If you insist.
"
4497,Clever stratagem operating to get ticket,COUPON,"Definition: ticket
A charade of COUP and ON.  COUP has several meanings, in English and especially in French, and I suppose that ‘clever stratagem’ is one of them.
"
4498,Prickly sort in court engaged in endless legal action,CACTUS,"Definition: Prickly sort
I think this is an insertion of CT in CAUS[E], but am happy to be corrected.
"
4499,IPod a girl brandished I dismissed as wasteful,PRODIGAL,"Definition: wasteful
Hypnos is asking you to make an anagram anagram of ‘brandished’) of (IPODAGIRL; after having removed I.  Probably best known to most people from the parable of the PRODIGAL SON in Luke Chapter 15.  The younger son leaves home, spends all his father’s money on whores and then returns, whereupon his father welcomes him with open arms and kills the fatted calf.  My kind of parent.
"
4500,Elegant female coming out in TV broadcast?,DEBONAIR,"Definition: Elegant
Got any female friends called DEB?  Well, if she was on telly, she’d be DEB ON AIR.
"
4501,Change represented by noon,AMEND,"Definition: Change
‘Noon’ or twelve o’clock, is the END of AM, so it’s AM END.  Might have seen this before.
"
4502,Violently push boat,BARGE,"Definition: Violently pushboat
A dd.
"
4503,Principal expert touring hospital – source of worry?,HEADACHE,"Definition: source of worry
A charade of HEAD for ‘principal’, and an insertion of H in ACE.  HEADACHE in its figurative rather than literal sense.
"
4504,"Person at fault reportedly, one that’s entered order largely for spicy stuff",CINNAMON,"Definition: spicy stuff
A charade of CINNA and MON.  CINNA is a homophone of ‘sinner’ and then it’s MON[K] for ‘largely’ someone who’s entered an ‘order’.
"
4505,Two letters penned by unknown independent ME citizen,YEMENI,"Definition: ME citizen
The mathematical ‘unknown’ is Y; ‘independent’ is I.  If you ‘pen’ EM and EN for the thirteenth and fourteenth letters of our alphabet inside that, you’ve got a Middle Eastern citizen.
"
4506,Eric and Eliot perhaps not working,IDLENESS,"Definition: not working
Referring to Eric IDLE and Eliot NESS.  If you don’t know either of them, get on Mrs Google.  I’m not doing all the work for you.
"
4507,A figure is left in part of ground in NY area,STATEN ISLAND,"Definition: NY area
A bit convoluted, but clearly clued.  ‘Part of ground’ is STAND (as in football); you need to put A TEN IS and L inside that.
"
4508,Grant maybe for audience shade,HUE,"Definition: shade
‘For audience’ is a homophone indicator for HUGH Grant, the actor introduced to the big time in *Four Weddings and a Funeral* but more recently in the news for being one of the victims of the phone hacking scandal, as well as for fathering three children with two different mothers.  Allegedly.
"
4509,Nothing is found in ramshackle hotels in African country,LESOTHO,"Definition: African country
An insertion of O in anagram of HOTELS;
"
4510,Poor cafes obscured in view of skyline,ROOFSCAPE,"Definition: view of skyline
anagram of POOR CAFES; with ‘obscured’ as the anagrind.
"
4511,Some software about to get on top of woman in charitable centre? That’s a wrong understanding,MISAPPREHENSION,"Definition: wrong understanding
A slightly complicated parsing, but all fair.  It’s an insertion (‘in’)  of APP for ‘software’, RE for ‘on’ and HEN for ‘woman’ in MISSION for ‘charitable centre’.
"
4512,It might feature in Tijuana chow?,NACHO,"Definition: It might feature in Tijuana chow
Hidden in TijuaNA CHOw.  NACHO is a Mexican snack and might therefore be found in Tijuana ‘chow’ or ‘food’.  I’m not going to call this an &lit otherwise I’ll  be in trouble.
"
4513,American protected by wicked European in retreat is hard to catch,ELUSIVE,"Definition: hard to catch
An insertion of US in EVIL E reversed.
"
4514,East End labourer wearing censorious expression sometimes,NOW AND THEN,"Definition: sometimes
A HAND is a ‘labourer’ but in the East End of London, he’d be an ‘AND.  The ‘censorious expression’ is NOW THEN!  Put one inside the other to get the phrase meaning ‘sometimes’.
"
4515,A creature having right to move north before start of year in country,AZERBAIJAN,"Definition: country
Again, a bit convoluted, but it’s all there if you go looking for it.  It’s a charade of A, ZERBA and I JAN.  I JAN is the ‘start of the year’ and ZERBA is the black and white stripy mammal with R for ‘right’ moving north, or upwards in a down clue.
"
4516,Put up foolish thing on stage concealing top plant,AMARYLLIS,"Definition: plant
Couldn’t see this for ages.  It’s a reversal of SILLY and [D]RAMA.
"
4517,A university lecturer getting into hire car,RENAULT,"Definition: car
An insertion of A, U and L in RENT for what the French call *la marque au losange* because of the lozenge-shaped logo on the bonnet.
"
4518,What weapons might contain in a dodgy compound?,AMMONIA,"Definition: compound
A charade of AMMO and anagram of IN A; for the pungent-smelling chemical compound.
"
4519,Second means of catching artist,MONET,"Definition: artist
A charade of MO for ‘second’ (‘Just a mo’) and NET for the French artist.
"
4520,Deplorable ex-President eliminating a source of trouble,SAD,"Definition: Deplorable
Referring to President Sadat of Egypt.  It’s SAD[AT].
"
4521,"Texan, large-hearted, becoming world champion?",ALEXANDER THE GREAT,"Definition: world champion
anagram of TEXAN LARGE HEARTED; with ‘becoming’ as the anagrind.  And I guess if you study the history, Alexander did set out to rule the world, as it was then understood.
"
4522,Writer travels on before noon to find companion,AMIGO,"Definition: companion
A charade of AM for ‘before noon’ and I GO for ‘writer travels’.
"
4523,"Retentive seaman, very crooked, banks rand",ABSORBENT,"Definition: Retentive
If I were ‘very crooked’, I would be SO BENT.  The ‘seaman’ is AB and then if you put R for ‘rand’ into all that, you’ve got your answer.
"
4524,Sky boss an idiot,AIRHEAD,"Definition: idiot
Well, you can say whether you agree with Tees and tell me what you think of Keith Rupert Murdoch, but remember that this blog is read by sensitive folk.  Whatever, it’s AIR plus HEAD.
"
4525,Revised gambling regulations might be an improvement,A CHANGE FOR THE BETTER,"Definition: Revised gambling regulationsan improvement
A cd cum dd.
"
4526,Time to find inspiration,ERATO,"Definition: inspiration
A charade of ERA and TO.  ERATO was one of the nine Greek muses, or ‘inspirations’.  She’s the most popular with setters, since naff all else fits E?A?O.
"
4527,One bounds area between two American cities,NYALA,"Definition: One bounds
An insertion of A between NY for New York and LA for Los Angeles.  And a NYALA, being a type of antelope, is indeed a bounder.
"
4528,Old woman clubs Hebrew character in bloody drama,MACBETH,"Definition: bloody drama
A charade of MA, C and BETH.  And blood was certainly spilt in the Scottish play.  ‘Out, damned spot!  Out I say!’ and all that.
"
4529,Monsieur in excellent Tuscan island returned with pleasant disposition,AMIABLE,"Definition: with pleasant disposition
It’s M for ‘Monsieur’ in A1 for ‘excellent’, followed by a reversal of ELBA.  Able was I ere …
"
4530,Splendidly full & lit unravelled through indication,RADIANTLY,"Definition: Splendidly
Well, a bit self-referential, perhaps.  An ‘& lit’ clue in a crossword is one where the whole surface defines the answer: ‘and literally so’.  Here Tees is asking you to make ‘& lit’ full, so AND LIT, and make an anagram, anagram of AND LIT;  Then stick that inside RAY for ‘indication’, as in RAY OF HOPE.  I think.  The setter has been known to go into rottweiler mode when it comes to what constitutes an &lit clue and what doesn’t.  No dogs were offended during the production of this blog.
"
4531,Repetitious complaint about volunteers in Eight Group,OCTAD,"Definition: Eight Group
The ‘volunteers’ are the TA or ‘Territorial Army’, and the ‘repetitious complaint’ is OCD, or ‘Obsessive Compulsive Disorder’, the mental health condition.  Insert the former into the latter.
"
4532,Spruce from small trading centre,SMART,"Definition: Spruce
A charade of S and MART.
"
4533,Interest is reduced amount good chaps divide,AMUSEMENT,"Definition: Interest
I’m not certain with this one.  ‘Reduced amount’ is presumably AMT; then MEN inserted will be ‘chaps’; but how we account for the USE, I can’t see.  Some kind soul will explain it for me, I’m sure.  *Edit: two kind souls, in fact.  Thanks to Eileen and Muffyword.*
"
4534,German prince to desecrate tomb?,MARGRAVE,"Definition: German prince
A charade of MAR and GRAVE.  ‘A military governor, especially of a German border province.’
"
4535,Wartime flyer made contact with English soldiers,METEOR,"Definition: Wartime flyer
A charade of MET, E and OR for ‘Ordinary Ranks’ or ‘soldiers’.  It’s a WW2 jet fighter.
"
4536,Fought over Scandinavian money racket,BATTLEDORE,"Definition: racket
Well, since it’s a down clue, it’s BATTLED over ORE.  And a BATTLEDORE is a ‘racket’ used in the forerunner of badminton.  I never knew that, but do now.
"
4537,Plantagenet located within released war dogs,EDWARD,"Definition: Plantagenet
Hidden in releasED WAR Dogs.
"
4538,Labour leader to restrict boastful chatter about horsey sport,DRESSAGE,"Definition: horsey sport
What will setters do when Red Ed is no longer leader of the Labour party?  It’s an insertion of GASSER for ‘boastful chatter’ in ED, all reversed.  Whether you’d call posh folk prancing around on their expensive horses in an arena a ‘sport’ is another question.
"
4539,Priest grabs very fit blonde,FAIR,"Definition: blonde
I’m sure he would, given the opportunity.  An insertion of A1 (again) in FR for father, or ‘priest’, at least in the RC community.
"
4540,Erin‘s one born to prolong troublesome rift,HIBERNIA,"Definition: Erin
Another insertion, of I and B in HERNIA.  ‘Erin’ and HIBERNIA are both alternative names for Ireland.
"
4541,Gimme hot sex in Hampshire town?,HAND IT OVER,"Definition: Gimme
As far as I know, the setter is a native of Hampshire, so I’ll say no more about the surface and just explain that it’s an insertion of IT for ‘sex’ in H ANDOVER.
"
4542,"Song about knave, knight and rustic",ARCADIAN,"Definition: rustic
Yet another insertion: of CAD for ‘knave’ in ARIA, followed by N for ‘knight’ in chess terminology.
"
4543,Islander appreciated Scotsman landing punch,TAHITIAN,"Definition: Islander
I think this is HIT for ‘punch’ inserted in TA for ‘appreciated’ and IAN for the setters’ favourite ‘Scotsman’, but I can’t see how ‘landing’ is the insertion indicator, except perhaps in the sense of ‘getting’.  ‘I got/landed the job.’  TAHITI always reminds me of the paintings of Paul Gauguin.
"
4544,Worried about party supporting NEC – that’s the story,ANECDOTE,"Definition: story
Another insertion, of NEC and DO for ‘party’ in ATE for ‘worried’.
"
4545,Rear Admiral in bog muddled situation,MORASS,"Definition: muddled situation
This puzzle is a bit of an insertionfest.  RA in MOSS.
"
4546,Refuge from Bedlam?,ASYLUM,"Definition: RefugeBedlam
A dd.  Bedlam is an archaic word for an ‘insane asylum’, derived from a popular name for the Hospital of St. Mary of Bethlehem in London in the 1400s.
"
4547,Does spiritual work,ACTS,"Definition: Doesspiritual work
A dd.  Referring to the Biblical work.
"
4548,"Match pipe that’s used in experiment supervised by 14 across, perhaps",TEST TUBE,"Definition: that’s used in experiment supervised by 14 across, perhaps
A charade of TEST for ‘match’ in the cricket sense (although let’s not mention the C word, please) and TUBE.  The reference to 14ac is that of course a SCIENCE MASTER would be in charge where students were doing experiments using a test tube.
"
4549,"Person, for example, associated with a wine shop",BODEGA,"Definition: wine shop
A charade of BOD for a rather old-fashioned word for ‘person’, EG and A.
"
4550,Reportedly undisciplined playwright,WILDE,"Definition: playwright
A homophone of ‘wild’, referring to OSCAR WILDE.  ‘I can resist everything except temptation.’
"
4551,Stones in the way derailed lead tram – none on board,ROAD METAL,"Definition: Stones in the way
An insertion anagram of ‘on board’) of O in (LEAD TRAM; with ‘derailed’ as the anagrind.
"
4552,Female spies receiving praise,CLAUDIA,"Definition: Female
An insertion of LAUD in CIA.
"
4553,Making a mistake about a piece of jewellery,EARRING,"Definition: piece of jewellery
Another insertion: of A in ERRING.
"
4554,Dispose of a semi – crescent stinks!,SCIENCE MASTER,"Definition: stinks
This was my last in, despite realising that it was an anagram.  It’s anagram of A SEMI CRESCENT;  ‘Stinks’ is public schoolboy slang for a science teacher, or MASTER as they are called in such institutions.
"
